,initial_temp,min_temp,max_acc_solutions,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
63,300,10,4,621.0,16.0,276.0,19.0,4976.0,48.0,1627.0,48.0,491.0,33.0,96280.0,126.0,7144.0,91.0,3654.0,79.0,43319.0,155.0,23525.0,143.0,2199.0,77.0,510595.0,300.0,43900.0,215.0,26512.0,182.0,242746.0,318.0,100298.0,277.0,17903.0,167.0,2091946.0,595.0,353211.0,444.0,160526.0,369.0,1192258.0,646.0
64,300,10,5,626.0,16.0,322.0,19.0,4965.0,48.0,1107.0,47.0,290.0,32.0,96329.0,126.0,6855.0,91.0,2541.0,79.0,41661.0,155.0,24004.0,143.0,2262.0,78.0,521942.0,301.0,64733.0,220.0,20904.0,180.0,252613.0,319.0,93014.0,276.0,14051.0,164.0,2132590.0,597.0,329175.0,443.0,165636.0,370.0,1213314.0,647.0
65,300,10,inf,624.0,16.0,303.0,19.0,4928.0,48.0,1772.0,48.0,326.0,32.0,96279.0,126.0,7259.0,91.0,3452.0,79.0,49404.0,157.0,24514.0,144.0,2180.0,78.0,513792.0,300.0,52459.0,218.0,24262.0,181.0,237052.0,318.0,101035.0,278.0,16345.0,165.0,2115577.0,596.0,322405.0,440.0,172229.0,372.0,1387656.0,655.0
66,300,15,1,624.0,16.0,235.0,19.0,5107.0,48.0,1768.0,48.0,684.0,33.0,100969.0,127.0,8808.0,92.0,2549.0,78.0,39909.0,154.0,23160.0,143.0,2121.0,78.0,514854.0,300.0,47691.0,217.0,20314.0,179.0,237685.0,318.0,96016.0,276.0,14857.0,164.0,2054806.0,593.0,346894.0,445.0,174495.0,372.0,1264956.0,649.0
67,300,15,2,623.0,16.0,258.0,19.0,4978.0,48.0,1795.0,48.0,597.0,33.0,96347.0,126.0,6146.0,90.0,3547.0,79.0,45987.0,156.0,21701.0,143.0,2702.0,78.0,503784.0,299.0,45047.0,216.0,28457.0,182.0,232396.0,317.0,86140.0,275.0,11287.0,163.0,2121427.0,596.0,337322.0,445.0,186290.0,372.0,1211975.0,645.0
68,300,15,3,632.0,16.0,332.0,19.0,5020.0,48.0,1546.0,48.0,463.0,32.0,96703.0,126.0,6901.0,91.0,3229.0,78.0,42406.0,155.0,28640.0,144.0,1778.0,77.0,525064.0,301.0,55599.0,218.0,21298.0,180.0,249976.0,320.0,93094.0,276.0,15591.0,166.0,2117155.0,595.0,404446.0,449.0,137686.0,367.0,1120342.0,641.0
69,300,15,4,621.0,16.0,273.0,19.0,5071.0,48.0,1507.0,48.0,371.0,32.0,96537.0,126.0,7948.0,91.0,2696.0,79.0,43335.0,155.0,27898.0,145.0,1879.0,77.0,527017.0,301.0,53899.0,218.0,25661.0,180.0,246187.0,319.0,116509.0,280.0,14773.0,165.0,2072997.0,594.0,343518.0,443.0,159667.0,369.0,1105383.0,640.0
70,300,15,5,635.0,16.0,277.0,19.0,5062.0,48.0,1612.0,48.0,724.0,33.0,96548.0,126.0,7573.0,92.0,3569.0,79.0,45045.0,156.0,24050.0,143.0,1738.0,77.0,523725.0,301.0,49458.0,217.0,30087.0,183.0,227122.0,317.0,94817.0,278.0,14053.0,164.0,2117186.0,596.0,387993.0,450.0,178521.0,372.0,1231372.0,648.0
71,300,15,inf,615.0,16.0,240.0,19.0,5202.0,48.0,1485.0,48.0,374.0,32.0,96672.0,126.0,6707.0,91.0,3180.0,79.0,38778.0,154.0,21263.0,142.0,1774.0,77.0,525620.0,301.0,46775.0,217.0,23762.0,180.0,237523.0,318.0,98172.0,276.0,13541.0,164.0,2102510.0,595.0,320946.0,442.0,163325.0,371.0,1197082.0,646.0
72,500,1,1,615.0,16.0,142.0,19.0,4874.0,48.0,1374.0,48.0,175.0,32.0,96287.0,126.0,7631.0,91.0,2301.0,78.0,43796.0,155.0,25384.0,144.0,1146.0,77.0,523290.0,301.0,50724.0,218.0,27143.0,182.0,238628.0,317.0,94605.0,277.0,13971.0,165.0,2049947.0,593.0,338990.0,444.0,157859.0,369.0,1135686.0,642.0
73,500,1,2,615.0,16.0,201.0,19.0,4968.0,48.0,1406.0,48.0,212.0,32.0,96534.0,126.0,6304.0,91.0,2312.0,78.0,41647.0,155.0,21366.0,143.0,1459.0,77.0,512983.0,300.0,50221.0,217.0,24393.0,181.0,234715.0,317.0,98266.0,277.0,11837.0,163.0,2077773.0,594.0,301197.0,440.0,168916.0,371.0,1283908.0,648.0
74,500,1,3,615.0,16.0,182.0,19.0,4878.0,48.0,1500.0,48.0,134.0,32.0,96186.0,126.0,8498.0,92.0,1920.0,78.0,43401.0,155.0,28863.0,145.0,2160.0,78.0,501450.0,299.0,49629.0,218.0,22725.0,180.0,240043.0,318.0,113514.0,279.0,11592.0,164.0,2101358.0,595.0,348643.0,444.0,171747.0,371.0,1129926.0,641.0
75,500,1,4,615.0,16.0,195.0,19.0,4881.0,48.0,1289.0,48.0,202.0,32.0,96186.0,126.0,6662.0,91.0,1976.0,78.0,42437.0,155.0,26855.0,144.0,1370.0,77.0,524773.0,301.0,53565.0,218.0,22282.0,181.0,190903.0,312.0,105462.0,278.0,14275.0,164.0,2119980.0,596.0,333923.0,442.0,162712.0,368.0,1226637.0,648.0
76,500,1,5,615.0,16.0,186.0,19.0,4932.0,48.0,1044.0,47.0,194.0,32.0,101027.0,127.0,6413.0,91.0,2132.0,78.0,43152.0,155.0,28816.0,145.0,1688.0,77.0,512573.0,300.0,59993.0,220.0,21530.0,180.0,227107.0,317.0,93771.0,275.0,14281.0,165.0,2125154.0,596.0,340821.0,444.0,166111.0,370.0,1281968.0,652.0
77,500,1,inf,615.0,16.0,210.0,19.0,5014.0,48.0,980.0,47.0,142.0,32.0,96247.0,126.0,6845.0,91.0,3576.0,79.0,43142.0,156.0,25628.0,144.0,1846.0,78.0,511128.0,300.0,59051.0,219.0,20958.0,179.0,218459.0,315.0,84632.0,276.0,13658.0,163.0,2142940.0,597.0,316247.0,441.0,154730.0,369.0,1183383.0,646.0
78,500,5,1,615.0,16.0,208.0,19.0,4908.0,48.0,898.0,47.0,192.0,32.0,96266.0,126.0,9685.0,93.0,2432.0,78.0,41228.0,155.0,21284.0,142.0,1703.0,78.0,523349.0,301.0,45809.0,217.0,22386.0,180.0,218119.0,316.0,97085.0,276.0,12477.0,164.0,2060519.0,594.0,312550.0,441.0,137678.0,366.0,1348716.0,653.0
79,500,5,2,621.0,16.0,197.0,19.0,4930.0,48.0,1446.0,48.0,286.0,32.0,96328.0,126.0,6573.0,91.0,3560.0,79.0,43866.0,156.0,22224.0,143.0,1389.0,77.0,513464.0,300.0,57365.0,219.0,21509.0,179.0,212223.0,315.0,95524.0,277.0,11672.0,163.0,2105132.0,596.0,333152.0,443.0,158367.0,370.0,1253828.0,649.0
80,500,5,3,615.0,16.0,155.0,19.0,4881.0,48.0,1446.0,48.0,304.0,32.0,96470.0,126.0,6300.0,91.0,2648.0,78.0,43698.0,155.0,23590.0,143.0,2082.0,78.0,525037.0,301.0,57745.0,219.0,25886.0,181.0,240818.0,318.0,107816.0,278.0,15565.0,166.0,2084001.0,594.0,346399.0,444.0,163924.0,369.0,1221915.0,646.0
81,500,5,4,623.0,16.0,204.0,19.0,4873.0,48.0,1470.0,48.0,199.0,32.0,96372.0,126.0,6742.0,91.0,3291.0,79.0,35131.0,153.0,22825.0,143.0,1159.0,77.0,501777.0,299.0,48954.0,217.0,24593.0,180.0,227203.0,317.0,100092.0,277.0,12156.0,164.0,2165060.0,598.0,319275.0,443.0,164508.0,370.0,1163978.0,643.0
