,elitism size,mc option,mutation prob,crossover prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
134,4,FIXED,0.15,0.7,"(627, 16)","(287, 19)","(7621, 49)","(3265, 49)","(903, 33)","(102955, 127)","(21851, 95)","(12286, 83)","(105723, 165)","(95349, 156)","(10601, 83)","(565576, 303)","(241968, 240)","(104775, 194)","(553836, 340)","(320234, 299)","(51992, 171)","(2431534, 604)","(1241131, 490)","(522938, 393)","(2806776, 697)"
135,2,DHM/ILC,,,"(1178, 17)","(442, 19)","(8291, 50)","(4313, 50)","(968, 33)","(98639, 126)","(33141, 99)","(13897, 84)","(120546, 167)","(85818, 154)","(8448, 81)","(559194, 302)","(243784, 241)","(101941, 195)","(545671, 339)","(374646, 303)","(57828, 174)","(2442209, 604)","(1417831, 498)","(515969, 399)","(2770385, 698)"
136,2,FIXED,0.08,0.85,"(618, 16)","(555, 20)","(7467, 49)","(4827, 50)","(1091, 33)","(104766, 127)","(36808, 100)","(17988, 86)","(93049, 162)","(103584, 158)","(12134, 83)","(605111, 306)","(291589, 246)","(121453, 197)","(710485, 351)","(393733, 304)","(58403, 173)","(2386841, 604)","(1281515, 493)","(621426, 404)","(2894477, 701)"
137,10,FIXED,0.2,0.8,"(627, 16)","(315, 19)","(7234, 49)","(3884, 49)","(769, 33)","(98828, 126)","(25587, 97)","(10529, 82)","(104509, 165)","(71515, 152)","(7887, 81)","(561059, 302)","(224534, 239)","(105305, 194)","(571525, 340)","(350528, 302)","(53864, 172)","(2334833, 601)","(1253022, 490)","(587627, 400)","(2617521, 692)"
138,8,ILM/DHC,,,"(694, 16)","(266, 19)","(7129, 49)","(3231, 49)","(1160, 34)","(108777, 128)","(26023, 97)","(15460, 84)","(108936, 166)","(90932, 155)","(11979, 82)","(572957, 303)","(275267, 244)","(107664, 194)","(545517, 339)","(403672, 305)","(61746, 174)","(2473046, 605)","(1282225, 492)","(558916, 399)","(2912848, 702)"
139,0,ILM/DHC,,,"(615, 16)","(331, 19)","(6799, 49)","(4716, 50)","(1235, 33)","(103173, 127)","(22669, 96)","(11820, 82)","(107809, 165)","(77375, 154)","(6928, 80)","(577057, 304)","(242719, 241)","(107994, 195)","(576820, 342)","(383994, 304)","(53436, 173)","(2377619, 602)","(1229868, 489)","(539195, 398)","(2737605, 695)"
140,6,ILM/DHC,,,"(635, 16)","(216, 19)","(7895, 49)","(3702, 50)","(1387, 34)","(102807, 127)","(24736, 97)","(16044, 84)","(108424, 166)","(79162, 153)","(9172, 81)","(581314, 304)","(277576, 244)","(107890, 194)","(553132, 339)","(331985, 298)","(61334, 174)","(2422326, 604)","(1207911, 488)","(590690, 402)","(2579461, 690)"
141,10,DHM/ILC,,,"(662, 16)","(266, 19)","(9644, 50)","(5922, 50)","(916, 33)","(103498, 127)","(29360, 98)","(15668, 84)","(119828, 166)","(81702, 154)","(9096, 82)","(588272, 304)","(238452, 241)","(126644, 198)","(669128, 347)","(369581, 303)","(69416, 176)","(2489175, 606)","(1305538, 493)","(644355, 405)","(2775529, 697)"
142,8,FIXED,0.12,0.8,"(1168, 17)","(383, 19)","(6788, 49)","(3580, 49)","(894, 33)","(103347, 127)","(25648, 97)","(14062, 84)","(109057, 165)","(100287, 157)","(11559, 83)","(568223, 303)","(231731, 240)","(99269, 193)","(607660, 342)","(384036, 304)","(57172, 173)","(2548290, 608)","(1307784, 493)","(619926, 404)","(2668347, 695)"
143,10,FIXED,0.05,0.7,"(1187, 17)","(741, 20)","(9572, 50)","(6253, 51)","(1542, 34)","(99514, 126)","(34505, 99)","(18104, 86)","(132054, 168)","(93616, 156)","(8910, 81)","(584284, 304)","(286536, 245)","(120274, 196)","(684369, 350)","(425410, 307)","(79834, 176)","(2565504, 608)","(1496991, 502)","(619183, 403)","(3126594, 707)"
144,4,ILM/DHC,,,"(615, 16)","(365, 19)","(6756, 49)","(5236, 51)","(467, 33)","(98641, 126)","(31664, 99)","(14560, 83)","(100663, 163)","(83347, 154)","(10712, 81)","(565849, 303)","(249597, 241)","(105655, 194)","(580149, 341)","(340986, 301)","(55583, 173)","(2392926, 603)","(1211562, 489)","(565060, 401)","(2627315, 692)"
145,0,ILM/DHC,,,"(624, 16)","(670, 20)","(8523, 50)","(4636, 50)","(825, 33)","(104186, 127)","(27866, 98)","(12792, 83)","(98232, 164)","(72759, 152)","(9164, 82)","(576095, 304)","(262574, 243)","(103545, 194)","(543811, 340)","(296879, 295)","(44994, 171)","(2442457, 605)","(1223126, 488)","(538928, 396)","(2729166, 694)"
146,6,ILM/DHC,,,"(1182, 17)","(724, 20)","(8567, 50)","(5251, 50)","(908, 33)","(103189, 127)","(28471, 98)","(12592, 83)","(108025, 165)","(87534, 154)","(9713, 81)","(593241, 305)","(248708, 242)","(102928, 193)","(662028, 347)","(374781, 304)","(68516, 175)","(2464780, 606)","(1218374, 490)","(554277, 398)","(2740106, 693)"
147,0,ILM/DHC,,,"(651, 16)","(424, 19)","(5981, 48)","(4683, 50)","(852, 33)","(99259, 126)","(24161, 97)","(9546, 82)","(118480, 167)","(84642, 154)","(10263, 82)","(578460, 303)","(233941, 241)","(96835, 193)","(589408, 342)","(333308, 301)","(54147, 172)","(2408292, 604)","(1239207, 489)","(533918, 398)","(2764563, 697)"
148,6,ILM/DHC,,,"(634, 16)","(325, 19)","(7393, 49)","(5725, 51)","(889, 33)","(98913, 126)","(25514, 97)","(14639, 83)","(101844, 163)","(93097, 156)","(8250, 81)","(561595, 302)","(283479, 246)","(119287, 197)","(527835, 339)","(387111, 303)","(60882, 173)","(2392491, 602)","(1396921, 498)","(563828, 399)","(2941525, 701)"
149,0,FIXED,0.05,0.7,"(663, 16)","(442, 19)","(9038, 50)","(4763, 50)","(1701, 34)","(104155, 127)","(31586, 98)","(17096, 85)","(134095, 169)","(91422, 155)","(10764, 82)","(598674, 304)","(258930, 243)","(122083, 197)","(643689, 346)","(431568, 309)","(61146, 174)","(2538807, 608)","(1318121, 496)","(727285, 411)","(3156736, 709)"
